      #Hard_ZPE      #Hard_ZPE      #Hard_ZPE
 #Erot(HCl)cm-1             #J    #Speed(m/s)
         593.23              7         151.72
         444.92              6         157.90
         127.12              3         434.09
          21.19              1         160.41
         593.23              7         303.06
         317.80              5         202.73
         317.80              5         253.70
         762.73              8         252.59
          63.56              2         396.76
         127.12              3         216.29
          63.56              2         197.95
         593.23              7         204.15
         317.80              5         430.75
         444.92              6         327.84
         127.12              3         234.42
         211.87              4         181.40
          21.19              1         123.61
         444.92              6         279.21
          21.19              1         176.78
         211.87              4         302.35
          21.19              1         225.45
          21.19              1         413.09
         317.80              5         326.91
          63.56              2         537.47
         444.92              6         215.10
         317.80              5         211.11
          21.19              1         168.57
           0.00              0         262.97
          21.19              1         275.36
         593.23              7         240.12
         444.92              6         240.30
         127.12              3         245.19
         317.80              5         251.55
         211.87              4         525.03
          63.56              2         421.33
         127.12              3         409.15
         317.80              5         187.66
          63.56              2         180.16
         444.92              6         129.72
         444.92              6         279.94
         127.12              3         237.53
         317.80              5         155.72
          63.56              2         289.06
          63.56              2         431.09
         211.87              4         199.45
         211.87              4         378.50
           0.00              0         370.19
         127.12              3         340.52
         127.12              3         231.52
         127.12              3         511.10
         953.41              9         105.81
         317.80              5         321.37
         593.23              7         344.67
         317.80              5         240.90
         127.12              3         166.20
         211.87              4         218.32
          63.56              2         168.30
         211.87              4         335.59
         317.80              5         273.00
         127.12              3         128.55
          21.19              1         481.59
         211.87              4         228.97
         127.12              3         516.90
         317.80              5         478.49
         211.87              4         192.07
         317.80              5         119.42
         317.80              5         195.09
         127.12              3         204.41
         593.23              7         224.54
         127.12              3         291.67
         127.12              3         272.44
          63.56              2         347.17
          21.19              1         243.35
          63.56              2         298.21
          21.19              1         376.02
          63.56              2         437.55
         127.12              3         426.49
         953.41              9         309.37
         211.87              4         323.11
         127.12              3         322.53
           0.00              0         144.26
         444.92              6         251.70
          63.56              2         357.50
         317.80              5         226.61
          21.19              1         544.92
         444.92              6         392.50
          21.19              1         489.14
         317.80              5         215.53
         211.87              4         237.22
         127.12              3         109.04
         127.12              3         236.40
         211.87              4         253.83
         317.80              5         291.38
          21.19              1         312.83
         317.80              5         283.26
         211.87              4         228.08
         127.12              3         222.66
         211.87              4         315.36
         317.80              5         328.98
         127.12              3         325.57
         593.23              7         313.70
          21.19              1         213.84
          21.19              1         400.69
           0.00              0         196.60
         317.80              5         294.32
         127.12              3         330.60
           0.00              0         409.34
         211.87              4         208.68
          21.19              1         274.18
         317.80              5         151.42
         317.80              5         393.43
          21.19              1         206.81
         762.73              8         257.31
         211.87              4         321.14
         593.23              7         396.87
         444.92              6         366.96
         444.92              6         102.64
          63.56              2         250.78
